City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mumford,GH,75.81,broken clouds,5.2618,-0.759,Spanish Villa
5,Harper,LR,76.95,overcast clouds,4.375,-7.7169,Screensaver
8,Kibala,TD,77.13,broken clouds,9.1104,18.3463,Prasant Hotels
10,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
15,Arifwala,PK,86.54,scattered clouds,30.294,73.0735,Rao Noman adv. Office
20,Puerto Leguizamo,CO,76.41,overcast clouds,-0.1934,-74.7819,la casona de juancho
23,Khash,IR,84.11,few clouds,28.2211,61.2158,خوابگاه آبجی محدثه
29,Alta Floresta,BR,83.84,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
31,Jamestown,US,83.05,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Borba,BR,80.76,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
41,Mangrol,IN,82.8,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
43,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
48,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
54,Wanparti,IN,78.73,overcast clouds,16.3667,78.0667,Vasanth
62,Koulikoro,ML,85.8,overcast clouds,14.0,-7.75,
65,Dingle,PH,77.65,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
67,Ormond Beach,US,84.02,broken clouds,29.2858,-81.0559,Makai Beach Lodge
68,Murgab,TM,82.27,clear sky,37.4966,61.9714,Wepa Nurlyýew
72,Kismayo,SO,75.6,light rain,-0.3582,42.5454,Agan-Hotel
73,Saint Anthony,US,84.15,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
78,Beyneu,KZ,75.85,broken clouds,45.3167,55.2,NUR
80,Hithadhoo,MV,81.25,moderate rain,-0.6,73.0833,Scoop Guest House
82,Sur,OM,87.22,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
83,Itarema,BR,76.93,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
86,Anta,IN,82.2,overcast clouds,25.15,76.3,Agnisaman Kendra
90,Sao Felix Do Xingu,BR,82.49,broken clouds,-6.6447,-51.995,Rio Xingu Camping
94,Korla,CN,79.03,broken clouds,41.7597,86.1469,Gulisitan Hotel
96,Gilgit,PK,85.93,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
98,Nantucket,US,76.01,clear sky,41.2835,-70.0995,Jared Coffin House
104,Kutum,SD,79.29,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
106,Sao Paulo De Olivenca,BR,80.35,overcast clouds,-3.3783,-68.8725,
110,Mabaruma,GY,76.06,broken clouds,8.2,-59.7833,Monty Brooms Guest House
119,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
125,Sao Miguel Do Araguaia,BR,78.22,clear sky,-13.275,-50.1628,Hotel Executivo Palace
126,Atmakur,IN,79.32,overcast clouds,15.8833,78.5833,Mee seva atk
127,Havelock,US,82.38,scattered clouds,34.8791,-76.9013,Sherwood Motel
133,Bafq,IR,87.8,clear sky,31.6128,55.4107,Alamdar Hotel
134,Kilindoni,TZ,76.6,clear sky,-7.9139,39.6668,Bustani B&B
136,Torbat-E Jam,IR,81.19,clear sky,35.244,60.6225,White building
138,Darab,IR,87.58,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
140,Nuqui,CO,80.69,light rain,5.7125,-77.2708,Hotel Nuquimar
