City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mumford,GH,5.2618,-0.759,75.81,85,72,10.85,broken clouds
1,Coquimbo,CL,-29.9533,-71.3436,56.93,67,75,11.5,broken clouds
2,Luderitz,NA,-26.6481,15.1594,61.68,66,0,1.57,clear sky
3,Colares,PT,38.7992,-9.4469,66.76,73,50,24.0,scattered clouds
4,Upernavik,GL,72.7868,-56.1549,37.33,83,63,10.63,broken clouds
5,Harper,LR,4.375,-7.7169,76.95,76,100,11.18,overcast clouds
6,Saint-Pierre,RE,-21.3393,55.4781,67.91,61,20,8.05,few clouds
7,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,11.5,light intensity shower rain
8,Kibala,TD,9.1104,18.3463,77.13,70,82,4.18,broken clouds
9,Saldanha,ZA,-33.0117,17.9442,59.05,92,0,14.63,clear sky
10,Panama City,PA,8.9936,-79.5197,82.35,88,40,6.91,scattered clouds
11,Narsaq,GL,60.9167,-46.05,55.62,71,25,8.66,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,35.26,69,75,2.3,broken clouds
13,Kastamonu,TR,41.5,33.6667,54.45,79,0,2.21,clear sky
14,Hermanus,ZA,-34.4187,19.2345,60.31,66,2,8.37,clear sky
15,Arifwala,PK,30.294,73.0735,86.54,69,26,5.75,scattered clouds
16,Rio Gallegos,AR,-51.6226,-69.2181,32.05,74,0,6.91,clear sky
17,Clyde River,CA,70.4692,-68.5914,34.03,93,100,8.05,mist
18,Port Alfred,ZA,-33.5906,26.891,67.8,42,0,14.12,clear sky
19,Oskarshamn,SE,57.2645,16.4484,68.99,97,100,4.79,overcast clouds
20,Puerto Leguizamo,CO,-0.1934,-74.7819,76.41,96,91,1.74,overcast clouds
21,Tasiilaq,GL,65.6145,-37.6368,39.36,86,83,6.15,broken clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,83,20,8.05,few clouds
23,Khash,IR,28.2211,61.2158,84.11,28,18,1.57,few clouds
24,Vicosa,BR,-20.7539,-42.8819,61.23,73,0,2.71,clear sky
25,Vestmannaeyjar,IS,63.4427,-20.2734,53.01,89,26,13.69,scattered clouds
26,Ponta Do Sol,PT,32.6667,-17.1,72.01,80,11,3.38,few clouds
27,Qasigiannguit,GL,68.8193,-51.1922,52.05,90,83,2.19,broken clouds
28,Charlottesville,US,38.0293,-78.4767,90.01,76,0,9.22,clear sky
29,Alta Floresta,BR,-9.8756,-56.0861,83.84,39,57,3.11,broken clouds
