City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Elizabeth City,US,2022-06-28 17:34:55,36.2946,-76.2511,85.01,38,0,11.5
1,Vidim,RU,2022-06-28 17:39:09,56.4088,103.1106,61.09,86,100,4.5
2,Pevek,RU,2022-06-28 17:39:09,69.7008,170.3133,44.38,93,100,14.12
3,Busselton,AU,2022-06-28 17:39:10,-33.65,115.3333,48.18,83,2,9.93
4,Kapaa,US,2022-06-28 17:39:10,22.0752,-159.319,79.12,77,40,12.66
5,Nishihara,JP,2022-06-28 17:39:11,26.1842,127.7558,81.68,89,20,10.36
6,Mount Isa,AU,2022-06-28 17:39:12,-20.7333,139.5,58.77,33,90,6.91
7,Bredasdorp,ZA,2022-06-28 17:39:12,-34.5322,20.0403,60.35,51,0,4.72
8,Yellowknife,CA,2022-06-28 17:34:45,62.456,-114.3525,68.56,28,20,13.8
9,Grajau,BR,2022-06-28 17:39:13,-5.8194,-46.1386,92.17,33,1,4.97
10,Baghdad,IQ,2022-06-28 17:37:23,33.3406,44.4009,91.31,21,0,6.91
11,Port Alfred,ZA,2022-06-28 17:39:14,-33.5906,26.891,64.72,47,0,6.15
12,Moree,AU,2022-06-28 17:39:15,-29.4667,149.85,46.42,72,50,8.12
13,Panaba,MX,2022-06-28 17:39:15,21.2833,-88.2667,91.45,46,71,3.98
14,Waipawa,NZ,2022-06-28 17:39:15,-41.4122,175.5153,46.47,89,100,2.71
15,Punta Arenas,CL,2022-06-28 17:39:16,-53.15,-70.9167,41.11,75,75,12.66
16,Ushuaia,AR,2022-06-28 17:37:23,-54.8,-68.3,38.86,70,0,4.61
17,Saldanha,ZA,2022-06-28 17:39:17,-33.0117,17.9442,64.45,45,0,11.27
18,Norman Wells,CA,2022-06-28 17:39:17,65.282,-126.8329,69.84,40,75,3.44
19,Georgetown,MY,2022-06-28 17:39:18,5.4112,100.3354,82.89,89,20,2.3
20,Krasnoborsk,RU,2022-06-28 17:39:18,61.5598,45.934,52.63,62,13,5.46
